Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Body,Excerpt,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
30169043,"Abraham Lincoln and Mexico: A History of Courage, Intrigue and Unlikely Friendships",Michael Hogan,"Hogan, Michael",,"=""""","=""""",4,4.73,EgretBooks.com,Kindle Edition,362,2016,,2017/11/02,2017/09/15,,,read,,,,1,,,0,,,,,
23665303,"Pledge to the Wind, the Legend of Everett Ruess",Robert Louis DeMayo,"DeMayo, Robert Louis",,"=""""","=""9780991118328""",4,4.38,Wayward Publishing,Paperback,314,2014,2014,,2014/12/09,,,read,,,,1,,,0,,,,,
23272467,Eddie: The Life and Times of America's Preeminent Bad Boy,Ken Osmond,"Osmond, Ken","Christopher J. Lynch, Jerry Mathers","=""""","=""""",1,4.20,,Kindle Edition,235,2014,2014,2018/07/25,2017/08/22,,,read,,,,1,,,0,,,,,
18780799,Flour Water Salt Yeast: The Fundamentals of Artisan Bread and Pizza,Ken Forkish,"Forkish, Ken",,"=""""","=""""",3,4.45,Ten Speed Press,Kindle Edition,272,2012,2012,2018/07/25,2017/03/16,,,read,,,,1,,,0,,,,,
18991818,"How to Retire the Cheapskate Way: The Ultimate Cheapskate's Guide to a Better, Earlier, Happier Retirement",Jeff Yeager,"Yeager, Jeff",,"=""""","=""""",4,3.61,Crown Business,Kindle Edition,320,2013,2012,2017/08/20,2017/08/20,,,read,,,,1,,,0,,,,,
23595384,On Hearing of My Mother's Death Six Years After It Happened: A Daughter's Memoir of Mental Illness,Lori Schafer,"Schafer, Lori",,"=""""","=""""",4,3.62,,Kindle Edition,110,2014,2014,2017/08/24,2017/08/22,,,read,,,,1,,,0,,,,,
33391886,"Leviathan Wakes (Expanse, #1)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",5,4.22,Orbit,Kindle Edition,583,,2011,2017/10/09,2017/10/05,,,read,,,,1,,,0,,,,,
18142735,"Caliban's War (Expanse, #2)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",5,4.30,Orbit,Kindle Edition,583,2012,2012,2017/10/11,2017/10/09,,,read,,,,1,,,0,,,,,
19887474,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",5,4.31,Orbit,Kindle Edition,496,2015,2015,2017/12/15,2017/12/12,,,read,,,,1,,,0,,,,,
40116990,What You Make It: The Authorized Biography of Doug Pinnick,Chris Smith,"Smith, Chris",,"=""""","=""""",4,3.54,,Kindle Edition,144,2018,,2018/07/19,2018/07/15,,,read,,,,1,,,0,,,,,
1820055,"Good Calories, Bad Calories: Challenging the Conventional Wisdom on Diet, Weight Control, and Disease",Gary Taubes,"Taubes, Gary",,"=""1400040787""","=""9781400040780""",1,4.18,Knopf,Hardcover,601,2007,2004,2008/12/11,2008/01/20,,,read,"I am leaving my originsl review of this book here (below) but ten years later and I have completely, utterly changed my mind. This book is generally bullshit.<br/><br/>Taubes makes critical errors throughout. The voluminous footnotes gives the appearance of a thorough researcher, but given that he generally misinterprets, slants and selectively quotes them all, the volume only serves to mask his bias. His foundation is equally problematic. Here is a <a href=""http://anthonycolpo.com/the-art-of-bullshit-part-1-gary-taubes-and-nusi/"">very thorough recap</a><br/><br/>The current science shows that <a href=""https://examine.com/nutrition/low-fat-vs-low-carb-for-weight-loss/"">the makeup of the diet doesn't really matter.</a> In other words, in the end, it really is just Calories In/Calories Out.<br/><br/><hr><br/>NOTE: This review (below) is old and completely wrong. I leave it here as a reminder of how easy it is for authors to mislead<br/>-----<br/>Still in the first part of this book, but so far it is a thorough overview of the history of medical research into diet.  It has almost completely shattered my view of the state of government-funded research in America.  It is disturbing to discover that everything you have heard about healthy eating your whole life might be totally wrong.",,,1,,,0,,,,,
34811896,Pandemic (The Extinction Files #1),A.G. Riddle,"Riddle, A.G.",,"=""""","=""""",0,4.06,Riddle Inc.,Kindle Edition,696,2017,2017,,2017/10/23,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
35260199,Coming Clean,Kimberly Rae Miller,"Miller, Kimberly Rae",,"=""""","=""""",5,3.93,,Kindle Edition,271,2013,2013,2017/09/28,2017/09/28,,,read,,,,1,,,0,,,,,
