Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Number of Pages,Year Published,Date Read,Date Added,Exclusive Shelf,Body
30169043,"Abraham Lincoln and Mexico: A History of Courage, Intrigue and Unlikely Friendships",Michael Hogan,"Hogan, Michael",,,,4,EgretBooks.com,362,2016,2017/11/02,2017/09/15,read,
23665303,"Pledge to the Wind, the Legend of Everett Ruess",Robert Louis DeMayo,"DeMayo, Robert Louis",,,9780991118328,4,Wayward Publishing,314,2014,,2014/12/09,read,
23272467,Eddie: The Life and Times of America's Preeminent Bad Boy,Ken Osmond,"Osmond, Ken","Christopher J. Lynch, Jerry Mathers",,,1,,235,2014,2018/07/25,2017/08/22,read,
18780799,Flour Water Salt Yeast: The Fundamentals of Artisan Bread and Pizza,Ken Forkish,"Forkish, Ken",,,,3,Ten Speed Press,272,2012,2018/07/25,2017/03/16,read,
18991818,"How to Retire the Cheapskate Way: The Ultimate Cheapskate's Guide to a Better, Earlier, Happier Retirement",Jeff Yeager,"Yeager, Jeff",,,,4,Crown Business,320,2013,2017/08/20,2017/08/20,read,
23595384,On Hearing of My Mother's Death Six Years After It Happened: A Daughter's Memoir of Mental Illness,Lori Schafer,"Schafer, Lori",,,,4,,110,2014,2017/08/24,2017/08/22,read,
33391886,"Leviathan Wakes (Expanse, #1)",James S.A. Corey,"Corey, James S.A.",,,,5,Orbit,583,,2017/10/09,2017/10/05,read,
18142735,"Caliban's War (Expanse, #2)",James S.A. Corey,"Corey, James S.A.",,,,5,Orbit,583,2012,2017/10/11,2017/10/09,read,
19887474,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"Jemisin, N.K.",,,,5,Orbit,496,2015,2017/12/15,2017/12/12,read,
40116990,What You Make It: The Authorized Biography of Doug Pinnick,Chris Smith,"Smith, Chris",,,,4,,144,2018,2018/07/19,2018/07/15,read,
1820055,"Good Calories, Bad Calories: Challenging the Conventional Wisdom on Diet, Weight Control, and Disease",Gary Taubes,"Taubes, Gary",,1400040787,9781400040780,1,Knopf,601,2007,2008/12/11,2008/01/20,read,"I am leaving my originsl review of this book here (below) but ten years later and I have completely, utterly changed my mind. This book is generally bullshit.<br/><br/>Taubes makes critical errors throughout. The voluminous footnotes gives the appearance of a thorough researcher, but given that he generally misinterprets, slants and selectively quotes them all, the volume only serves to mask his bias. His foundation is equally problematic. Here is a <a href=""http://anthonycolpo.com/the-art-of-bullshit-part-1-gary-taubes-and-nusi/"">very thorough recap</a><br/><br/>The current science shows that <a href=""https://examine.com/nutrition/low-fat-vs-low-carb-for-weight-loss/"">the makeup of the diet doesn't really matter.</a> In other words, in the end, it really is just Calories In/Calories Out.<br/><br/><hr><br/>NOTE: This review (below) is old and completely wrong. I leave it here as a reminder of how easy it is for authors to mislead<br/>-----<br/>Still in the first part of this book, but so far it is a thorough overview of the history of medical research into diet.  It has almost completely shattered my view of the state of government-funded research in America.  It is disturbing to discover that everything you have heard about healthy eating your whole life might be totally wrong."
34811896,Pandemic (The Extinction Files #1),A.G. Riddle,"Riddle, A.G.",,,,0,Riddle Inc.,696,2017,,2017/10/23,currently-reading,
35260199,Coming Clean,Kimberly Rae Miller,"Miller, Kimberly Rae",,,,5,,271,2013,2017/09/28,2017/09/28,read,
6586393,I Never Promised You a Rose Garden,Hannah  Green,"Green, Hannah",Joanne Greenberg,,,5,,288,,2017/09/13,2017/09/13,read,
8947338,Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,"Quinn, Daniel",,,,5,Bantam,274,2009,2017/08/22,2017/08/22,read,
26247312,Beacon 23 (Beacon 23 #1-5),Hugh Howey,"Howey, Hugh",,,,5,Broad Reach Publishing,245,2015,2017/08/22,2017/08/21,read,
24976878,On the Move: A Life,Oliver Sacks,"Sacks, Oliver",,,,5,Knopf,416,2015,,2017/07/03,read,
16064673,The Call of the Wild,Jack London,"London, Jack",,,,5,,150,2012,2017/06/13,2017/06/13,read,
6557602,The Sociopath Next Door,Martha Stout,"Stout, Martha",,,,5,Harmony,256,2005,2017/02/07,2017/02/07,read,
1300326,Everett Ruess: A Vagabond for Beauty,W.L. Rusho,"Rusho, W.L.",Everett Ruess,0879052104,9780879052102,5,Gibbs Smith,228,1973,,2013/01/14,read,
31177867,Lisa Emmer Historical Thrillers Vol. 1-2 (Lisa Emmer Historical Thriller Series),Rob Swigart,"Swigart, Rob",,,,5,booksBnimble,623,2016,,2016/12/09,read,
16150119,"Wired (Wired, #1)",Douglas E. Richards,"Richards, Douglas E.",,,,4,Paragon Press,352,2012,,2016/12/04,read,"<strong>A really good read!</strong><br/><br/>Great book, great characters. Opens a lot of interesting doors. Slight bit too much military hero-worship, but I am an outlier on this..."
28218574,"Home (The Traveler, #1)",Tom Abrahams,"Abrahams, Tom",,,,2,Piton Press,278,2015,,2016/12/02,read,"<strong>Guns and God</strong><br/><br/>Mostly a good read, but way too much military rah-rah and the unique American version of Christianity, with a side of Trump. If you like that kind of doomer porn, you will probably love this author!"
30362787,Before I Go to Sleep,S.J. Watson,"Watson, S.J.",,,,5,HarperCollins e-books,371,2014,2016/11/30,2016/11/30,read,
11250477,Still Life With Brass Pole,Craig Machen,"Machen, Craig",,,,4,,280,2011,,2016/11/23,read,
9572170,The Templar Concordat,Terrence O'Brien,"O'Brien, Terrence",,,,5,Ardgroom Circle,412,2010,,2016/11/13,read,
30624628,Ocean of Storms,Christopher Mari,"Mari, Christopher",Jeremy K. Brown,,,4,47North,410,2016,,2016/11/11,read,
